Image Path,Image Width,Image Height,Object Name,X_min,Y_min,X_max,Y_max
/Users/emadboctor/Desktop/beverly_hills_gcp/Beverly_Hills368.png,1344,756,Car,643.075075075075,436.695652173913,750.7027027027026,529.4347826086956
/Users/emadboctor/Desktop/beverly_hills_gcp/Beverly_Hills368.png,1344,756,Car,727.8318318318318,441.391304347826,772.2282282282282,474.2608695652173
/Users/emadboctor/Desktop/beverly_hills_gcp/Beverly_Hills368.png,1344,756,Car,524.6846846846847,434.3478260869565,633.6576576576578,517.695652173913
/Users/emadboctor/Desktop/beverly_hills_gcp/Beverly_Hills368.png,1344,756,Car,601.3693693693695,420.26086956521743,668.6366366366367,483.6521739130435
/Users/emadboctor/Desktop/beverly_hills_gcp/Beverly_Hills368.png,1344,756,Street Sign,1272.6966966966966,309.91304347826093,1333.2372372372372,386.21739130434787
/Users/emadboctor/Desktop/beverly_hills_gcp/Beverly_Hills368.png,1344,756,Street Sign,269.06906906906914,323.99999999999994,329.60960960960966,392.08695652173907
/Users/emadboctor/Desktop/beverly_hills_gcp/Beverly_Hills368.png,1344,756,Palm Tree,565.0450450450451,149.08695652173915,637.6936936936937,210.13043478260872
/Users/emadboctor/Desktop/beverly_hills_gcp/Beverly_Hills368.png,1344,756,Palm Tree,476.25225225225216,151.4347826086956,562.3543543543542,207.78260869565213
/Users/emadboctor/Desktop/beverly_hills_gcp/Beverly_Hills368.png,1344,756,Palm Tree,508.5405405405406,169.04347826086956,586.5705705705706,241.82608695652175
/Users/emadboctor/Desktop/beverly_hills_gcp/Beverly_Hills368.png,1344,756,Palm Tree,392.8408408408409,126.7826086956522,465.48948948948953,193.69565217391306
/Users/emadboctor/Desktop/beverly_hills_gcp/Beverly_Hills368.png,1344,756,Palm Tree,417.0570570570571,166.69565217391306,477.5975975975976,228.91304347826087
/Users/emadboctor/Desktop/beverly_hills_gcp/Beverly_Hills368.png,1344,756,Palm Tree,578.4984984984984,322.82608695652175,608.0960960960961,359.2173913043478
/Users/emadboctor/Desktop/beverly_hills_gcp/Beverly_Hills368.png,1344,756,Palm Tree,610.7867867867867,324.0,648.4564564564564,353.3478260869565
/Users/emadboctor/Desktop/beverly_hills_gcp/Beverly_Hills368.png,1344,756,Palm Tree,621.5495495495495,342.78260869565213,656.5285285285285,374.4782608695652
/Users/emadboctor/Desktop/beverly_hills_gcp/Beverly_Hills368.png,1344,756,Car,176.24024024024027,428.47826086956513,224.67267267267272,458.9999999999999
/Users/emadboctor/Desktop/beverly_hills_gcp/Beverly_Hills368.png,1344,756,Car,110.31831831831826,429.6521739130434,180.27627627627623,462.5217391304347
/Users/emadboctor/Desktop/beverly_hills_gcp/Beverly_Hills368.png,1344,756,Car,403.6036036036037,437.8695652173913,435.891891891892,454.30434782608694
/Users/emadboctor/Desktop/beverly_hills_gcp/Beverly_Hills368.png,1344,756,Car,439.927927927928,439.04347826086956,470.87087087087093,455.4782608695652
/Users/emadboctor/Desktop/beverly_hills_gcp/Beverly_Hills368.png,1344,756,Car,341.7177177177177,435.52173913043475,380.7327327327327,456.65217391304344
/Users/emadboctor/Desktop/beverly_hills_gcp/Beverly_Hills368.png,1344,756,Street Sign,933.6696696696697,365.0869565217391,987.4834834834835,429.6521739130435
/Users/emadboctor/Desktop/beverly_hills_gcp/Beverly_Hills368.png,1344,756,Street Lamp,726.4864864864866,363.9130434782609,765.5015015015016,393.2608695652174
/Users/emadboctor/Desktop/beverly_hills_gcp/Beverly_Hills354.png,1344,756,Car,815.2792792792793,399.13043478260875,1252.5165165165165,595.1739130434784
/Users/emadboctor/Desktop/beverly_hills_gcp/Beverly_Hills354.png,1344,756,Car,1158.3423423423424,404.99999999999994,1339.963963963964,530.6086956521739
/Users/emadboctor/Desktop/beverly_hills_gcp/Beverly_Hills354.png,1344,756,Car,390.15015015015007,436.695652173913,515.2672672672671,527.0869565217391
